date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:50:14	98781/98781	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20May%202020%2013:50:13%20GMT	https://www.nexosperu.com.pe/	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/index.html	(from )
08:50:14	67/67	---MC-	200	added ('OK')	text/plain	date:Mon,%2025%20May%202020%2013:50:13%20GMT	https://www.nexosperu.com.pe/robots.txt		(from )
08:50:15	3214/3214	---M--	200	added ('OK')	image/png	date:Sat,%2026%20Jan%202019%2017:01:40%20GMT	https://www.nexosperu.com.pe/wp-content/uploads/2018/11/favicon.png	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-content/uploads/2018/11/favicon.png	(from https://www.nexosperu.com.pe/)
08:50:16	107071/107071	---M--	200	added ('OK')	application/javascript	date:Fri,%2007%20Feb%202020%2021:42:03%20GMT	https://www.nexosperu.com.pe/wp-content/uploads/cache/fvm/1581111602/out/header-84e60a2d.min.js	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-content/uploads/cache/fvm/1581111602/out/header-84e60a2d.min.js	(from https://www.nexosperu.com.pe/)
08:50:16	110564/110564	---M--	200	added ('OK')	application/javascript	date:Wed,%2013%20Jun%202018%2023:15:10%20GMT	https://www.nexosperu.com.pe/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min.js	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min.js	(from https://www.nexosperu.com.pe/)
08:50:17	65020/65020	---M--	200	added ('OK')	application/javascript	date:Fri,%2007%20Feb%202020%2021:42:03%20GMT	https://www.nexosperu.com.pe/wp-content/uploads/cache/fvm/1581111602/out/header-090a0292.min.js	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-content/uploads/cache/fvm/1581111602/out/header-090a0292.min.js	(from https://www.nexosperu.com.pe/)
08:50:18	2244/2244	---MC-	200	added ('OK')	application/json	date:Mon,%2025%20May%202020%2013:50:16%20GMT	https://www.nexosperu.com.pe/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.nexosperu.com.pe%2F	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-json/oembed/1.0/embed2943.json	(from https://www.nexosperu.com.pe/)
08:50:19	996814/996814	---M--	200	added ('OK')	text/css	date:Fri,%2007%20Feb%202020%2021:42:03%20GMT	https://www.nexosperu.com.pe/wp-content/uploads/cache/fvm/1581111602/out/header-b1e87211.min.css	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-content/uploads/cache/fvm/1581111602/out/header-b1e87211.min.css	(from https://www.nexosperu.com.pe/)
08:50:19	97865/97865	---MC-	200	added ('OK')	application/json	date:Mon,%2025%20May%202020%2013:50:16%20GMT	https://www.nexosperu.com.pe/wp-json/	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-json/index.html	(from https://www.nexosperu.com.pe/)
08:50:20	2341/2341	---MC-	200	added ('OK')	text/xml	date:Mon,%2025%20May%202020%2013:50:18%20GMT	https://www.nexosperu.com.pe/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.nexosperu.com.pe%2F&format=xml	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-json/oembed/1.0/embeddf5a	(from https://www.nexosperu.com.pe/)
08:50:21	135273/135273	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Sep%202019%2023:08:34%20GMT	https://www.nexosperu.com.pe/wp-content/uploads/2019/09/2019-nosotros1.jpg?id=3099	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-content/uploads/2019/09/2019-nosotros1f9ca.jpg	(from https://www.nexosperu.com.pe/)
08:50:21	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2025%20May%202020%2013:50:21%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.googletagmanager.com/gtm.85445.delayed	(from https://www.nexosperu.com.pe/)
08:50:21	3561/3561	---M--	200	added ('OK')	image/png	date:Sat,%2026%20Jan%202019%2017:01:40%20GMT	https://www.nexosperu.com.pe/wp-content/uploads/2018/11/nexos-logo.png	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-content/uploads/2018/11/nexos-logo.png	(from https://www.nexosperu.com.pe/)
